# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	7235
#@/user_id	ISuthRain
ci 	詞	c=2 d=0.420226 t=7235
ci di 	此地	c=1 d=0.29671 t=7235
ci dian 	詞典	c=2 d=0.99005 t=7235
ci hui 	詞彙	c=3 d=2.94128 t=7235
ci ji 	刺激	c=1 d=0.786628 t=7235
cong 	從	c=2 d=0.609501 t=7235
cong ling 	從零	c=1 d=0.494109 t=7235
cu ti 	粗體	c=3 d=1.45743 t=7235
cui 	催	c=1 d=0.657047 t=7235
cun chu 	存儲	c=1 d=0.460704 t=7235
cuo le 	錯了	c=1 d=1 t=7026
cuo wei 	錯位	c=1 d=0.308819 t=7235
cuo wu 	錯誤	c=4 d=0.923116 t=7235
da 	噠	c=1 d=0.128735 t=7235
da 	大	c=7 d=1.41385 t=7235
da an 	答案	c=1 d=0.316637 t=7235
da bu da 	打不打	c=1 d=0.0735345 t=7235
da can 	大餐	c=1 d=0.794534 t=7235
da ci dian 	大詞典	c=1 d=0.980199 t=7235
da diao 	打掉	c=1 d=0.0569831 t=7235
da gai 	大概	c=1 d=0.337902 t=7235
da ge 	打個	c=1 d=0.767206 t=7235
da jia 	大家	c=7 d=1.43627 t=7235
da jian 	搭建	c=2 d=0.56836 t=7235
da kai 	打開	c=7 d=2.41493 t=7235
da keng 	大坑	c=2 d=0.737123 t=7235
da lao 	大佬	c=5 d=0.373439 t=7235
da liang 	大量	c=2 d=0.394554 t=7235
da liu 	大陸	c=1 d=0.0140519 t=7235
da lu 	大陸	c=3 d=0.662554 t=7235
da nao 	大鬧	c=1 d=0.527292 t=7235
da tou zhen 	打頭陣	c=1 d=1 t=7235
da xiao 	大小	c=4 d=1.27723 t=7235
da xing 	大型	c=1 d=0.0238732 t=7235
da xue 	大學	c=1 d=0.927743 t=7235
da yu 	大於	c=1 d=0.32628 t=7235
da zhuan 	大專	c=1 d=0.12493 t=7235
dai 	代	c=1 d=0.329559 t=7235
dai 	帶	c=2 d=0.208357 t=7235
dai 	待	c=3 d=0.315204 t=7235
dai hui 	待會	c=1 d=0.557106 t=7235
dai lai 	帶來	c=1 d=0.0133665 t=7235
dai li 	代理	c=14 d=1.20205 t=7235
dai ma 	代碼	c=9 d=1.06819 t=7235
dai ma kuai 	代碼塊	c=1 d=0.0668703 t=7235
dai tou 	帶頭	c=1 d=0.181772 t=7235
dan 	但	c=4 d=1.05335 t=7235
dan 	單	c=1 d=0.2334 t=7235
dan 	蛋	c=1 d=0.554327 t=7235
dan chun 	單純	c=1 d=0.00527382 t=7235
dan pian ji 	單片機	c=7 d=1.84961 t=7235
dan shen 	單身	c=1 d=1 t=7184
dan shi 	但是	c=19 d=1.00186 t=7235
dan wei 	單位	c=1 d=0.299692 t=7235
dan xin 	擔心	c=3 d=1.3157 t=7235
dang 	當	c=3 d=1.25664 t=7235
dang chu 	當初	c=9 d=1.43719 t=7235
dang qian 	當前	c=3 d=0.603002 t=7235
dang xia 	當下	c=2 d=1.31141 t=7235
dao 	到	c=26 d=2.21596 t=7235
dao 	島	c=2 d=0.40952 t=7235
dao hang 	導航	c=1 d=0.00177315 t=7235
dao lai 	到來	c=2 d=0.2334 t=7235
dao le 	到了	c=1 d=0.900325 t=7235
dao qian 	道歉	c=1 d=0.0889216 t=7235
dao shi 	倒是	c=4 d=1.06014 t=7235
dao shi 	到時	c=10 d=1.30325 t=7235
